participant,test_case,passed_first_try,replay_count
007fe017-5dae-4a99-bb05-fc1af779d966,t3,True,0
007fe017-5dae-4a99-bb05-fc1af779d966,t4,False,2
007fe017-5dae-4a99-bb05-fc1af779d966,t5,True,0
007fe017-5dae-4a99-bb05-fc1af779d966,t6,False,3
007fe017-5dae-4a99-bb05-fc1af779d966,t7,True,0
007fe017-5dae-4a99-bb05-fc1af779d966,t8,True,0
007fe017-5dae-4a99-bb05-fc1af779d966,t9,False,1
008b6212-abe0-4853-a8ac-af44ec2dd772,t1,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t10,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t11,False,2
008b6212-abe0-4853-a8ac-af44ec2dd772,t12,False,1
008b6212-abe0-4853-a8ac-af44ec2dd772,t2,False,1
008b6212-abe0-4853-a8ac-af44ec2dd772,t3,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t4,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t5,False,1
008b6212-abe0-4853-a8ac-af44ec2dd772,t6,False,1
008b6212-abe0-4853-a8ac-af44ec2dd772,t7,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t8,True,0
008b6212-abe0-4853-a8ac-af44ec2dd772,t9,False,1
00bbbdad-6237-42c1-a8eb-13872c520cf3,t1,False,1
00bbbdad-6237-42c1-a8eb-13872c520cf3,t10,True,0
00bbbdad-6237-42c1-a8eb-13872c520cf3,t11,False,3
00bbbdad-6237-42c1-a8eb-13872c520cf3,t12,False,2
00bbbdad-6237-42c1-a8eb-13872c520cf3,t2,False,2
00bbbdad-6237-42c1-a8eb-13872c520cf3,t3,False,1
00bbbdad-6237-42c1-a8eb-13872c520cf3,t4,False,2
00bbbdad-6237-42c1-a8eb-13872c520cf3,t5,True,0
00bbbdad-6237-42c1-a8eb-13872c520cf3,t6,True,0
00bbbdad-6237-42c1-a8eb-13872c520cf3,t7,False,3
00bbbdad-6237-42c1-a8eb-13872c520cf3,t8,True,0
00bbbdad-6237-42c1-a8eb-13872c520cf3,t9,False,3
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t1,False,2
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t10,False,2
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t11,False,6
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t12,False,4
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t2,False,2
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t3,False,1
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t4,False,1
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t5,True,0
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t6,True,0
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t7,True,0
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t8,False,1
00c4ff01-14f3-4f1b-9de9-e8dc77dcb005,t9,True,0
00c59b1e-2ed7-49dd-9e22-a077718a8355,t1,False,1
00c59b1e-2ed7-49dd-9e22-a077718a8355,t10,False,2
00c59b1e-2ed7-49dd-9e22-a077718a8355,t11,False,2
00c59b1e-2ed7-49dd-9e22-a077718a8355,t12,True,0
00c59b1e-2ed7-49dd-9e22-a077718a8355,t2,False,1
00c59b1e-2ed7-49dd-9e22-a077718a8355,t3,False,1
00c59b1e-2ed7-49dd-9e22-a077718a8355,t4,False,2
00c59b1e-2ed7-49dd-9e22-a077718a8355,t5,True,0
00c59b1e-2ed7-49dd-9e22-a077718a8355,t6,True,0
00c59b1e-2ed7-49dd-9e22-a077718a8355,t7,False,1
00c59b1e-2ed7-49dd-9e22-a077718a8355,t8,True,0
00c59b1e-2ed7-49dd-9e22-a077718a8355,t9,False,3
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t1,True,0
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t10,True,0
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t11,False,2
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t12,False,1
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t2,False,1
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t3,True,0
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t4,True,0
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t5,False,1
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t6,True,0
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t7,False,1
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t8,False,1
00caf5f3-8eba-4ffe-837b-49cd7d00302a,t9,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t1,False,2
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t10,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t11,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t12,False,2
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t2,False,1
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t3,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t4,False,1
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t5,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t6,True,0
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t7,False,6
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t8,False,2
00cec3b5-bc3d-4782-8ee9-c90ca12e411d,t9,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t1,False,1
012e9adc-c874-4309-ae0c-d4d409a09256,t10,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t11,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t12,False,1
012e9adc-c874-4309-ae0c-d4d409a09256,t2,False,1
012e9adc-c874-4309-ae0c-d4d409a09256,t3,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t4,False,1
012e9adc-c874-4309-ae0c-d4d409a09256,t5,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t6,False,1
012e9adc-c874-4309-ae0c-d4d409a09256,t7,False,3
012e9adc-c874-4309-ae0c-d4d409a09256,t8,True,0
012e9adc-c874-4309-ae0c-d4d409a09256,t9,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t1,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t10,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t11,False,3
013046fa-b0c0-4ffa-9c90-43040148c589,t12,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t2,False,1
013046fa-b0c0-4ffa-9c90-43040148c589,t3,False,2
013046fa-b0c0-4ffa-9c90-43040148c589,t4,False,2
013046fa-b0c0-4ffa-9c90-43040148c589,t5,False,1
013046fa-b0c0-4ffa-9c90-43040148c589,t6,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t7,False,3
013046fa-b0c0-4ffa-9c90-43040148c589,t8,True,0
013046fa-b0c0-4ffa-9c90-43040148c589,t9,True,0
0153ec1a-7185-4889-a4dd-7fde8690669e,t1,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t10,True,0
0153ec1a-7185-4889-a4dd-7fde8690669e,t11,False,2
0153ec1a-7185-4889-a4dd-7fde8690669e,t12,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t2,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t3,True,0
0153ec1a-7185-4889-a4dd-7fde8690669e,t4,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t5,True,0
0153ec1a-7185-4889-a4dd-7fde8690669e,t6,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t7,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t8,False,1
0153ec1a-7185-4889-a4dd-7fde8690669e,t9,False,2
015d4cf6-1550-485b-95ab-f426e02e16f7,t1,True,0
015d4cf6-1550-485b-95ab-f426e02e16f7,t10,True,0
015d4cf6-1550-485b-95ab-f426e02e16f7,t11,True,0
015d4cf6-1550-485b-95ab-f426e02e16f7,t12,False,3
015d4cf6-1550-485b-95ab-f426e02e16f7,t2,False,1
015d4cf6-1550-485b-95ab-f426e02e16f7,t3,False,1
015d4cf6-1550-485b-95ab-f426e02e16f7,t4,True,0
015d4cf6-1550-485b-95ab-f426e02e16f7,t5,True,0
015d4cf6-1550-485b-95ab-f426e02e16f7,t6,False,1
015d4cf6-1550-485b-95ab-f426e02e16f7,t7,False,1
015d4cf6-1550-485b-95ab-f426e02e16f7,t8,False,1
015d4cf6-1550-485b-95ab-f426e02e16f7,t9,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t1,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t10,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t11,False,1
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t12,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t2,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t3,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t4,False,1
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t5,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t6,False,2
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t7,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t8,True,0
015d8cd2-461f-4cd2-bfd4-9dbc6812e230,t9,False,3
01744d29-3330-4fe7-ae21-8c955e68cf4f,t1,False,1
01744d29-3330-4fe7-ae21-8c955e68cf4f,t10,True,0
01744d29-3330-4fe7-ae21-8c955e68cf4f,t11,False,3
01744d29-3330-4fe7-ae21-8c955e68cf4f,t12,False,3
01744d29-3330-4fe7-ae21-8c955e68cf4f,t2,False,1
01744d29-3330-4fe7-ae21-8c955e68cf4f,t3,False,6
01744d29-3330-4fe7-ae21-8c955e68cf4f,t4,False,4
01744d29-3330-4fe7-ae21-8c955e68cf4f,t5,True,0
01744d29-3330-4fe7-ae21-8c955e68cf4f,t6,False,2
01744d29-3330-4fe7-ae21-8c955e68cf4f,t7,False,2
01744d29-3330-4fe7-ae21-8c955e68cf4f,t8,True,0
01744d29-3330-4fe7-ae21-8c955e68cf4f,t9,True,0
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t1,False,1
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t10,True,0
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t11,False,1
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t12,False,1
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t2,False,3
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t3,False,1
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t4,True,0
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t5,False,3
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t6,True,0
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t7,False,3
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t8,True,0
019a7894-d4ed-4914-95e5-8e4ae25a2df3,t9,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t1,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t10,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t11,False,1
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t12,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t2,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t3,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t4,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t5,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t6,False,1
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t7,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t8,True,0
01d4c206-3f84-4fce-8cf0-142ba0014ec1,t9,False,2
0245915d-b306-4bea-8880-ca9f52047f08,t1,False,1
0245915d-b306-4bea-8880-ca9f52047f08,t10,True,0
0245915d-b306-4bea-8880-ca9f52047f08,t11,False,1
0245915d-b306-4bea-8880-ca9f52047f08,t12,True,0
0245915d-b306-4bea-8880-ca9f52047f08,t2,False,1
0245915d-b306-4bea-8880-ca9f52047f08,t3,True,0
0245915d-b306-4bea-8880-ca9f52047f08,t4,False,2
0245915d-b306-4bea-8880-ca9f52047f08,t5,True,0
0245915d-b306-4bea-8880-ca9f52047f08,t6,True,0
0245915d-b306-4bea-8880-ca9f52047f08,t7,False,1
0245915d-b306-4bea-8880-ca9f52047f08,t8,False,3
0245915d-b306-4bea-8880-ca9f52047f08,t9,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t1,True,0
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t10,True,0
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t11,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t12,True,0
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t2,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t3,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t4,True,0
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t5,True,0
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t6,False,2
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t7,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t8,False,1
02b7db5f-4ebd-4c54-9a77-dde1c334d684,t9,False,3
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t1,False,1
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t10,False,3
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t11,False,2
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t12,False,1
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t2,False,2
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t3,False,3
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t4,True,0
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t5,True,0
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t6,True,0
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t7,True,0
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t8,True,0
02ded7bc-5a71-455e-aafd-f69f1eb361fc,t9,True,0
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t1,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t10,True,0
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t11,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t12,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t2,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t3,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t4,True,0
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t5,True,0
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t6,False,1
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t7,True,0
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t8,False,3
02fd7971-48fe-44fd-94b5-fe2d8fc3a1c3,t9,True,0
031e3ca4-d9c9-471c-a647-80347a91f6c0,t1,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t10,True,0
031e3ca4-d9c9-471c-a647-80347a91f6c0,t11,False,4
031e3ca4-d9c9-471c-a647-80347a91f6c0,t12,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t2,False,2
031e3ca4-d9c9-471c-a647-80347a91f6c0,t3,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t4,True,0
031e3ca4-d9c9-471c-a647-80347a91f6c0,t5,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t6,True,0
031e3ca4-d9c9-471c-a647-80347a91f6c0,t7,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t8,False,1
031e3ca4-d9c9-471c-a647-80347a91f6c0,t9,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t1,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t10,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t11,False,4
032c6298-318f-4b35-ae2d-97a335d78c25,t12,False,2
032c6298-318f-4b35-ae2d-97a335d78c25,t2,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t3,False,1
032c6298-318f-4b35-ae2d-97a335d78c25,t4,False,1
032c6298-318f-4b35-ae2d-97a335d78c25,t5,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t6,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t7,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t8,True,0
032c6298-318f-4b35-ae2d-97a335d78c25,t9,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t1,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t10,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t11,False,2
03363f26-4db1-4e3e-9bb1-5305910a000d,t12,False,2
03363f26-4db1-4e3e-9bb1-5305910a000d,t2,False,1
03363f26-4db1-4e3e-9bb1-5305910a000d,t3,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t4,False,1
03363f26-4db1-4e3e-9bb1-5305910a000d,t5,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t6,False,1
03363f26-4db1-4e3e-9bb1-5305910a000d,t7,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t8,True,0
03363f26-4db1-4e3e-9bb1-5305910a000d,t9,False,4
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t1,False,1
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t10,False,1
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t11,True,0
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t12,False,2
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t2,False,2
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t3,False,1
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t4,True,0
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t5,True,0
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t6,True,0
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t7,True,0
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t8,False,2
03517dd4-62ee-4957-9128-5cf5ad46d7d4,t9,True,0
03589208-7fba-40ee-9633-ac0959a61478,t1,True,0
03589208-7fba-40ee-9633-ac0959a61478,t10,False,4
03589208-7fba-40ee-9633-ac0959a61478,t11,False,1
03589208-7fba-40ee-9633-ac0959a61478,t12,True,0
03589208-7fba-40ee-9633-ac0959a61478,t2,False,1
03589208-7fba-40ee-9633-ac0959a61478,t3,False,1
03589208-7fba-40ee-9633-ac0959a61478,t4,True,0
03589208-7fba-40ee-9633-ac0959a61478,t5,True,0
03589208-7fba-40ee-9633-ac0959a61478,t6,True,0
03589208-7fba-40ee-9633-ac0959a61478,t7,True,0
03589208-7fba-40ee-9633-ac0959a61478,t8,True,0
03589208-7fba-40ee-9633-ac0959a61478,t9,True,0
037c2686-4328-404d-955f-4ce2658df2ea,t1,False,1
037c2686-4328-404d-955f-4ce2658df2ea,t10,True,0
037c2686-4328-404d-955f-4ce2658df2ea,t11,True,0
037c2686-4328-404d-955f-4ce2658df2ea,t12,False,2
037c2686-4328-404d-955f-4ce2658df2ea,t2,False,1
037c2686-4328-404d-955f-4ce2658df2ea,t3,False,1
037c2686-4328-404d-955f-4ce2658df2ea,t4,False,2
037c2686-4328-404d-955f-4ce2658df2ea,t5,True,0
037c2686-4328-404d-955f-4ce2658df2ea,t6,False,1
037c2686-4328-404d-955f-4ce2658df2ea,t7,True,0
037c2686-4328-404d-955f-4ce2658df2ea,t8,False,1
037c2686-4328-404d-955f-4ce2658df2ea,t9,False,2
038ffaae-055b-47dc-82c9-781430703224,t1,False,1
038ffaae-055b-47dc-82c9-781430703224,t10,True,0
038ffaae-055b-47dc-82c9-781430703224,t11,False,3
038ffaae-055b-47dc-82c9-781430703224,t12,True,0
038ffaae-055b-47dc-82c9-781430703224,t2,True,0
038ffaae-055b-47dc-82c9-781430703224,t3,False,1
038ffaae-055b-47dc-82c9-781430703224,t4,False,1
038ffaae-055b-47dc-82c9-781430703224,t5,False,1
038ffaae-055b-47dc-82c9-781430703224,t6,True,0
038ffaae-055b-47dc-82c9-781430703224,t7,True,0
038ffaae-055b-47dc-82c9-781430703224,t8,True,0
038ffaae-055b-47dc-82c9-781430703224,t9,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t1,False,1
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t10,False,2
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t11,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t12,False,1
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t2,False,1
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t3,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t4,False,4
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t5,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t6,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t7,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t8,True,0
03c17abb-de3e-409c-9d24-a5f76cc81c0f,t9,False,2
03e05650-80b7-4796-a6ae-f46c24013cf0,t1,True,0
03e05650-80b7-4796-a6ae-f46c24013cf0,t10,False,1
03e05650-80b7-4796-a6ae-f46c24013cf0,t11,False,1
03e05650-80b7-4796-a6ae-f46c24013cf0,t12,True,0
03e05650-80b7-4796-a6ae-f46c24013cf0,t2,False,1
03e05650-80b7-4796-a6ae-f46c24013cf0,t3,True,0
03e05650-80b7-4796-a6ae-f46c24013cf0,t4,False,1
03e05650-80b7-4796-a6ae-f46c24013cf0,t5,False,2
03e05650-80b7-4796-a6ae-f46c24013cf0,t6,True,0
03e05650-80b7-4796-a6ae-f46c24013cf0,t7,False,3
03e05650-80b7-4796-a6ae-f46c24013cf0,t8,True,0
03e05650-80b7-4796-a6ae-f46c24013cf0,t9,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t1,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t10,False,2
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t11,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t12,False,2
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t2,False,2
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t3,False,5
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t4,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t5,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t6,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t7,True,0
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t8,False,4
04136ce7-43e6-45f9-b65b-9189d0dafc0d,t9,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t1,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t10,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t11,False,4
04284c11-a72e-47c8-9f91-9b848e73f723,t12,False,1
04284c11-a72e-47c8-9f91-9b848e73f723,t2,False,1
04284c11-a72e-47c8-9f91-9b848e73f723,t3,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t4,False,1
04284c11-a72e-47c8-9f91-9b848e73f723,t5,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t6,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t7,False,1
04284c11-a72e-47c8-9f91-9b848e73f723,t8,True,0
04284c11-a72e-47c8-9f91-9b848e73f723,t9,True,0
0478c736-2328-4fb0-a525-1fc6447e353e,t1,False,1
0478c736-2328-4fb0-a525-1fc6447e353e,t10,False,1
0478c736-2328-4fb0-a525-1fc6447e353e,t11,True,0
0478c736-2328-4fb0-a525-1fc6447e353e,t12,False,1
0478c736-2328-4fb0-a525-1fc6447e353e,t2,False,1
0478c736-2328-4fb0-a525-1fc6447e353e,t3,True,0
0478c736-2328-4fb0-a525-1fc6447e353e,t4,True,0
0478c736-2328-4fb0-a525-1fc6447e353e,t5,True,0
0478c736-2328-4fb0-a525-1fc6447e353e,t6,False,4
