sequence,preset,score
S05,H_01_02,7.291666667
S05,H_01_03,4.041666667
S05,H_01_04,1.208333333
S05,H_02_01,8.208333333
S05,H_02_02,7.708333333
S05,H_02_03,5.583333333
S05,H_02_04,1.75
S05,V_01_01,8.166666667
S05,V_01_02,7.708333333
S05,V_01_03,6.291666667
S05,V_01_04,4.125
S05,V_02_01,8.083333333
S05,V_02_02,7.416666667
S05,V_02_03,6.333333333
S05,V_02_04,4.541666667
S05,R_00_00,8.208333333
S06,A_01_01,8.666666667
S06,A_01_02,8.208333333
S06,A_01_03,7.25
S06,A_01_04,2.583333333
S06,A_02_01,8.333333333
S06,A_02_02,7.791666667
S06,A_02_03,7.208333333
S06,A_02_04,2.041666667
S06,H_01_01,8.291666667
S06,H_01_02,7.625
S06,H_01_03,6.666666667
S06,H_01_04,3.791666667
S06,H_02_01,8.458333333
S06,H_02_02,7.708333333
S06,H_02_03,7.291666667
S06,H_02_04,4.291666667
S06,V_01_01,8.541666667
S06,V_01_02,8.083333333
S06,V_01_03,7.875
S06,V_01_04,5.916666667
S06,V_02_01,8.208333333
S06,V_02_02,8.041666667
S06,V_02_03,7.708333333
S06,V_02_04,5.208333333
S06,R_00_00,8.583333333
S07,A_01_01,8.375
S07,A_01_02,8.208333333
S07,A_01_03,5.416666667
S07,A_01_04,0.833333333
S07,A_02_01,8.208333333
S07,A_02_02,7.583333333
S07,A_02_03,3.708333333
S07,A_02_04,1.0
S07,H_01_01,7.958333333
S07,H_01_02,7.541666667
S07,H_01_03,4.875
S07,H_01_04,1.625
S07,H_02_01,8.833333333
S07,H_02_02,7.791666667
S07,H_02_03,5.041666667
S07,H_02_04,1.583333333
S07,V_01_01,8.416666667
S07,V_01_02,7.625
S07,V_01_03,7.333333333
S07,V_01_04,5.666666667
S07,V_02_01,8.375
S07,V_02_02,7.833333333
S07,V_02_03,7.5
S07,V_02_04,4.25
S07,R_00_00,8.75
S08,A_01_01,8.583333333
S08,A_01_02,8.166666667
S08,A_01_03,7.833333333
S08,A_01_04,1.208333333
S08,A_02_01,8.791666667
S08,A_02_02,7.916666667
S08,A_02_03,5.666666667
S08,A_02_04,1.083333333
S08,H_01_01,8.583333333
S08,H_01_02,7.791666667
S08,H_01_03,5.416666667
S08,H_01_04,1.791666667
S08,H_02_01,9.083333333
S08,H_02_02,7.75
S08,H_02_03,5.291666667
S08,H_02_04,2.083333333
S08,V_01_01,8.291666667
S08,V_01_02,7.958333333
S08,V_01_03,6.583333333
S08,V_01_04,4.416666667
S08,V_02_01,8.708333333
S08,V_02_02,8.25
S08,V_02_03,6.166666667
S08,V_02_04,3.666666667
S08,R_00_00,8.75
S09,A_01_01,7.458333333
S09,A_01_02,7.083333333
S09,A_01_03,4.541666667
S09,A_01_04,0.583333333
S09,A_02_01,7.833333333
S09,A_02_02,7.333333333
S09,A_02_03,6.083333333
S09,A_02_04,0.541666667
S09,H_01_01,7.25
S09,H_01_02,6.041666667
S09,H_01_03,3.458333333
S09,H_01_04,1.125
S09,H_02_01,7.916666667
S09,H_02_02,7.041666667
S09,H_02_03,4.916666667
S09,H_02_04,1.375
S09,V_01_01,7.541666667
S09,V_01_02,7.041666667
S09,V_01_03,5.916666667
S09,V_01_04,3.625
S09,V_02_01,7.791666667
S09,V_02_02,7.291666667
S09,V_02_03,5.625
S09,V_02_04,3.0
S09,R_00_00,8.416666667
S10,A_01_01,8.0
S10,A_01_02,7.625
S10,A_01_03,7.5
S10,A_01_04,1.833333333
S10,A_02_01,8.75
S10,A_02_02,8.541666667
S10,A_02_03,6.75
S10,A_02_04,0.916666667
S10,H_01_01,8.916666667
S10,H_01_02,7.958333333
S10,H_01_03,6.458333333
S10,H_01_04,3.458333333
S10,H_02_01,8.916666667
S10,H_02_02,8.291666667
S10,H_02_03,7.041666667
S10,H_02_04,2.916666667
S10,V_01_01,8.375
S10,V_01_02,7.833333333
S10,V_01_03,6.958333333
S10,V_01_04,6.333333333
S10,V_02_01,8.458333333
S10,V_02_02,7.875
S10,V_02_03,7.875
S10,V_02_04,5.208333333
S10,R_00_00,9.041666667
