method,test_case,participant,fluency,exposure,contrast,color,sharpness,noise,compression_artifacts,aesthetic
v2801,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,0,0,0,0,-1,1,0
v0032,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,-1,-1,-1,0,0,0,0
v3065,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,0,0,0,0,-1,1,0
v1025,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,0,0,0,0,-1,1,0
v2063,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,0,-1,-1,0,-1,-1,-1
v4048,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,1,1,1
v4097,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,1,1,1
v3583,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,1,1,1,0,1,1,0
v2519,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,0,1,1,0,0,1,0
v2525,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,0,0,0,0,0,0,0
v1703,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,1,1,1,0,0,1,1
v3355,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,0,0,0,0,1,1,0
v0094,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,-1,-1,-1,-1,-1,-1,-1
v2519,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,0,0,1,1,1
v4537,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,1,1,1
v2083,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,0,0,0,1,-1,0,0
v3355,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,0,0,1,1,0
v2525,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,0,0,1,-1,-1,0,0
v0314,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,-1,0,0,-1,-1,-1,-1,0
v2801,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,0,1,1
v2083,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,1,1,1,1,0,1,1,1
v2063,Maxwell,76235253-aa1e-4c51-96c0-fffb3168626a,0,0,0,0,0,-1,1,0
v0265,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,-1,0,0,0,0,1,0
v0878,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,1,0,0,1,1,0
v1703,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,0,0,0,0,0,-1,0
v2828,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,-1,0,1,0,0,1,1
v2828,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,-1,0,1,0,0,1,1
v4511,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,0,0,1,1,1,0
v2519,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,1,1,1,1,1,1
v0529,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,0,0,0,0,0,1,0
v2328,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,1,1,1,1,1,1
v2635,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,0,0,0,0,1,0
v1984,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,1,0,-1,0,1,0
v2349,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,1,1,1,1,1,1
v4166,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,0,0,1,1,1,0
v4511,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,1,1,0,1,1,1,0
v3355,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,0,0,1,1,1,1
v1477,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,0,0,0,0,1,-1,0
v0094,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,0,-1,-1,-1,-1,-1,-1,0
v0328,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,0,0,0,0,0,0,0,0
v4166,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,0,0,0,1,1,0
v3175,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,0,-1,-1,-1,-1,0
v0530,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,0,0,-1,-1,-1,0,1,0
v1025,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,0,0,-1,-1,0,0,1,0
v1703,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,0,0,0,0,1,-1,0
v3355,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,0,0,0,1,1,0
v0530,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,0,0,-1,-1,-1,-1,-1,0
v4511,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,-1,0,-1,0,0,0,0,0
v4125,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,1,0,0,1,1,0
v2181,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,0,0,0,0,1,0
v2328,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,1,1,1,0,0,0,0
v2063,Maxwell,391bd14c-81a1-4ea6-9649-ed267b4c7148,1,0,-1,0,0,0,0,-1
v2083,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,0,1,-1,-1,-1,1
v0328,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,0,0,-1,-1,-1,0
v3583,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,1,1,1,0,1,1,1
v2889,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,0,0,-1,-1,-1,-1,0
v2828,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,-1,0,0,-1,-1,0
v4048,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,1,1,1,1,1
v1703,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,1,0,0,0,-1,-1
v4097,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,0,1,0,0,-1
v4048,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,1,1,1,1,1
v1477,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,0,0,-1,0,0,0
v2181,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,0,0,0,-1,0,0,0
v0824,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,-1,1,-1,0,0,-1,-1
v3292,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,0,0,0,-1,-1,-1,0
v3065,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,0,0,-1,0,0,0,0
v0878,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,0,1,1,0,0,0,0
v0529,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,0,0,-1,-1,-1,0
v1397,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,0,0,0,-1,-1,0
v4166,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,1,0,0,0,0
v4125,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,1,1,0,0,0
v2083,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,-1,0,-1,0,0,-1,1
v0314,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,-1,0,-1,-1,-1,0
v1477,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,0,1,1,-1,0,0,0
v0878,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,-1,-1,0,-1,0,-1,0
v3583,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,1,1,0,0,0,1,1
v1859,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,0,-1,0,-1,-1,-1,0
v1397,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,-1,0,1,1,-1,-1,-1,-1
v1025,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,1,0,0,1,-1,0
v0032,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,0,-1,-1,0,1,1,0,1
v0094,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,-1,-1,-1,-1,-1,-1,-1
v3292,Maxwell,01b5ea9e-cfe1-435d-beaa-1ac22a3365a0,1,1,0,0,0,0,-1,0
v1190,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,0,0,0,0,0,0,0
v0265,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,0,0,0,0,0,0,0
v3555,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,1,1,1,1,1,1,1
v1984,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,-1,-1,-1,0,0,0
v0314,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,0,0,0,0,0,0
v2063,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,0,0,0,0,0,0,0
v0162,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,-1,-1,-1,-1,-1,-1,-1
v1190,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,1,1,1,1,1,1,1
v0032,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,-1,-1,-1,-1,-1,0,-1
v2328,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,0,0,0,0,1,1,0
v4034,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,0,0,0,0,0,0,0
v0009,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,-1,-1,-1,-1,0,0,-1
v3175,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,1,0,0,-1,-1,0
v0530,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,-1,-1,-1,-1,-1,0
v0824,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,1,0,0,0,0,0
v0529,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,0,0,0,0,0,0
v4125,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,0,0,0,0,0,0
v2083,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,0,0,0,0,0,0
v4097,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,1,1,1,1,1,1,1
v1397,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,1,1,0,0,0,1
v2889,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,0,0,0,0,-1,0
v4048,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,1,1,1,1,1,1,1
v2063,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,0,0,-1,0,-1,-1
v3355,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,0,0,0,0,0,0,1
v3292,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,1,1,0,0,0,0,0,0
v2635,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,1,0,0,0,0,0,0
v4097,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,1,0,1,0,1,1,1
v1397,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,0,1,0,0,0,0
v1397,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,-1,0,0,0,0,0,0,0
v4097,Maxwell,ba33fbc8-5b51-4b75-99e9-7efb75523570,0,1,0,1,0,1,1,1
v0878,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,0,0,0,1
v0009,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,-1,-1,-1,-1,-1
v0878,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,1,1,1,0,1,1,1
v2083,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,0,1,0,0,-1
v3292,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,0,0,0,-1,0,0,0
v1859,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,-1,0,0,0,-1
v1703,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,1,1,1,0,0,0,1
v1859,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,0,0,0,0,-1
v4048,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,1,1,1,0,0,0,1
v1394,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,-1,-1,0,0,-1
v4125,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,1,1,1,1,1,1,1
v0314,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,-1,-1,-1,-1,-1
v2419,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,1,0,0,1
v0328,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,1,0,0,-1
v2083,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,0,1,1,0,0,0,1
v1394,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,0,-1,-1,0,0,-1
v3583,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,1,1,1,0,0,0,1
v0162,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,0,0,1,0,-1,-1
v4235,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,0,1,0,-1,0,0,1
v1477,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,-1,0,1,0,0,-1
v2181,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,-1,-1,-1,-1,0,0,1
v3555,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,-1,0,1,1,0,0,-1
v1373,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,0,0,0,-1
v4537,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,1,0,1,1,0,0,0,1
v1025,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,-1,0,0,-1
v1397,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,0,0,0,0,0,0,0
v4097,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,0,0,0,1,0,0,0,1
v2328,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,0,-1,0,-1,-1,0,0,-1
v0328,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,0,1,0,0,-1,0,0,-1
v1397,Maxwell,7435bcc8-5a58-4090-b2c4-a12dad3b724d,-1,1,0,0,0,0,0,1
v1373,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,1,1,1,0,0,0,1
v4537,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v4097,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v2328,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,0,0,0,0,0,0,1
v2083,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,0,0,1
v2181,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,1,1,1
v1397,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,0,0,1
v4511,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v2181,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,1,1,1
v2828,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,0,0,1
v1477,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v2889,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,0,1,0,-1,0,0,0
v0328,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,0,0,0,-1,0,0,-1
v3740,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v4166,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,1,1,1
v1394,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,0,0,0,0,0,0,0
v1859,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v0265,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,0,0,0,0,1,0
v4537,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v2063,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,0,0,1,0,0,0,0
v3555,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,1,1,1,1
v0162,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,-1,-1,-1,0,-1,0,0,-1
v2419,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,0,1,0,1,0,0
v2349,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,1,1,1,1,1,1,1
v0824,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,-1,0,-1,-1,0,-1,0,-1
v2525,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,1,1,1
v2828,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,1,1,0,1,1,1
v3065,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,0,1,0,1,0,0,0,0
v0824,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,-1,0,0,-1,0,-1,0,-1
v2525,Maxwell,c3ed4b9f-9d83-4e8d-b205-5e1579d7dd2e,1,1,0,1,0,1,1,0
v1859,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,0,0,0,1,-1,-1,0
v4511,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v3583,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v4235,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,0,1,1,0,1,0,1
v3355,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v4166,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,0,0,1
v4048,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v2525,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,-1,-1,0,0,0,-1,0
v4511,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v0328,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,-1,-1,-1,-1
v4048,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v2513,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,-1,-1,-1,-1
v2063,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,-1,-1,-1,-1
v2519,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v0265,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,0,0,0,0,0,0
v2349,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,-1,1,-1,0,1,1,1
v3065,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,1,-1,-1,-1
v2635,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,0,-1,0,-1,-1,0
v4166,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v1477,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,0,-1,0,1,-1,-1,-1
v3292,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,0,0,0,0,0,0
v2063,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,-1,0,-1,-1,0,-1,0
v2181,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,-1,0,-1,-1,-1,0
v1984,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,-1,0,0,-1,0,1,0
v4511,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,1,1,1,1,0,1,1,1
v0328,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,1,-1,-1,-1
v1373,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,0,0,-1,-1,0,0
v2513,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,-1,-1,-1,-1,1,-1,-1,0
v1025,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,0,0,0,-1,-1,0
v3555,Maxwell,b6af1441-5d96-4d47-86bf-1907661846dc,0,0,-1,0,1,1,0,0
v0094,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,-1,-1,-1,-1,0,1,-1,-1
v4048,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,1,1,1,1
v1025,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,0,0,0,0,0,1,0,-1
v4048,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,1,1,1,1
v3740,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,1,1,1,1
v0162,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,0,0,-1,-1,-1,1,-1,-1
v4034,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,1,1,1,1
v3065,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,0,0,0,0,0,1,1,-1
v2828,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,0,1,1,1
v3292,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,0,0,1,0,1,1,0
v1859,Maxwell,8cd3ce2a-ac44-4c97-9c43-0018d5190dd0,1,1,1,1,0,1,1,1
